id,location,city,latitude,longitude,road_type,lighting_score,crowd_density_score,police_presence_score,cctv_coverage_score,historical_crime_count,emergency_access_score,crime_type,risk_score,risk_level,safe_route_score,safe_route_path,voice_detected,voice_phrase,voice_event_type,recommended_action
744,"Residential Street, Delhi",Delhi,28.585586,77.263527,Residential Street,1,3,10,7,58,7,None,40.59,Medium,75.07,"28.582224,77.260839 -> 28.582969,77.265222 -> 28.582374,77.262699 -> 28.586723,77.263362 -> 28.586233,77.260862 -> 28.587073,77.261994 -> 28.584774,77.264121",True,call my sister,Relative,Notify selected relative
745,"Park Road, Pune",Pune,18.524008,73.857539,Park Road,5,2,2,2,1,4,Stalking,43.8,Medium,58.85,"18.523259,73.857544 -> 18.52057,73.856383 -> 18.524977,73.854345",False,none,No Alert,No action
746,"Main Road, Bengaluru",Bengaluru,13.01208,77.639036,Main Road,4,8,10,2,83,4,None,39.57,Medium,63.81,"13.015474,77.638677 -> 13.013126,77.637794 -> 13.014388,77.640051 -> 13.010045,77.636123 -> 13.008429,77.639506 -> 13.013511,77.640663",True,mom,Relative,Notify selected relative
747,"Industrial Road, Chennai",Chennai,13.078571,80.230205,Industrial Road,3,8,6,0,14,3,Abduction,38.59,Medium,63.4,"13.081452,80.228993 -> 13.07893,80.227516 -> 13.079412,80.229061 -> 13.081188,80.232139",True,call my sister,Relative,Notify selected relative
748,"Main Road, Mumbai",Mumbai,19.05865,72.873267,Main Road,8,10,3,3,37,10,None,25.43,Low,81.81,"19.055101,72.871123 -> 19.059146,72.87408 -> 19.059021,72.872513 -> 19.060983,72.873426 -> 19.060408,72.868833 -> 19.048844,72.873976",False,none,No Alert,No action
749,"Park Road, Hyderabad",Hyderabad,17.335133,78.479264,Park Road,7,8,9,9,93,9,Harassment,26.16,Low,88.73,"17.339102,78.480264 -> 17.335548,78.481356 -> 17.336054,78.47812 -> 17.337812,78.47649 -> 17.335941,78.475395",False,none,No Alert,No action
750,"Industrial Road, Mumbai",Mumbai,19.083138,72.884455,Industrial Road,4,1,8,0,54,10,None,43.59,Medium,71.99,"19.079226,72.882953 -> 19.085195,72.885293 -> 19.083589,72.882065 -> 19.081661,72.887568 -> 19.083009,72.885393",True,mom,Relative,Notify selected relative
751,"Industrial Road, Delhi",Delhi,28.609868,77.167592,Industrial Road,2,8,9,10,44,8,None,27.45,Low,90.31,"28.611126,77.173356 -> 28.607329,77.169648 -> 28.606589,77.167985 -> 28.612309,77.162412 -> 28.609356,77.166184 -> 28.608113,77.168555",False,none,No Alert,No action
752,"Industrial Road, Bengaluru",Bengaluru,13.010824,77.589935,Industrial Road,6,8,3,8,28,10,Sexual Harassment,25.82,Low,87.11,"13.01111,77.58994 -> 13.008101,77.592706 -> 13.011562,77.590922 -> 13.008808,77.588787 -> 13.010384,77.5861",True,dad,Relative,Notify selected relative
753,"Market Road, Mumbai",Mumbai,19.016919,72.856674,Market Road,5,7,6,10,83,6,Stalking,35.48,Medium,81.14,"19.015286,72.854127 -> 19.014882,72.855536 -> 19.016034,72.862088 -> 19.019556,72.859236 -> 19.01984,72.854177 -> 19.013863,72.853907",True,help me,Help,Trigger emergency alert and share location
754,"Residential Street, Chennai",Chennai,13.129408,80.251548,Residential Street,8,3,2,3,20,10,Robbery,33.64,Medium,69.61,"13.128331,80.250951 -> 13.130079,80.252175 -> 13.127338,80.253262 -> 13.12781,80.251157 -> 13.131125,80.249943 -> 13.127985,80.253027",True,help,Help,Trigger emergency alert and share location
755,"Railway Station Road, Mumbai",Mumbai,19.045979,72.864232,Railway Station Road,4,4,8,0,2,6,Stalking,34.86,Medium,75.12,"19.051114,72.865746 -> 19.047161,72.865559 -> 19.043296,72.864521 -> 19.045905,72.865036 -> 19.04627,72.865181",True,call my mother,Relative,Notify selected relative
756,"Main Road, Vijayawada",Vijayawada,16.495299,80.650051,Main Road,2,6,6,1,79,4,None,51.66,Medium,47.5,"16.494499,80.653528 -> 16.496096,80.649999 -> 16.500039,80.646649",True,mom,Relative,Notify selected relative
757,"College Road, Chennai",Chennai,13.043869,80.330645,College Road,6,1,8,4,19,9,Stalking,31.66,Medium,80.17,"13.043263,80.327647 -> 13.044988,80.332006 -> 13.041133,80.330294 -> 13.04303,80.331285 -> 13.041071,80.333775 -> 13.046159,80.329737 -> 13.043328,80.330304",True,help,Help,Trigger emergency alert and share location
758,"Industrial Road, Mumbai",Mumbai,19.048759,72.86218,Industrial Road,2,2,9,9,100,2,Theft,50.91,Medium,60.14,"19.052791,72.864547 -> 19.051096,72.863105 -> 19.045966,72.862076 -> 19.051185,72.859034 -> 19.05035,72.867987 -> 19.051414,72.865715 -> 19.049305,72.8646",False,none,No Alert,No action
759,"Residential Street, Vijayawada",Vijayawada,16.481075,80.675855,Residential Street,4,6,2,4,90,8,Assault,48.86,Medium,61.41,"16.4818,80.679145 -> 16.479728,80.675387 -> 16.481314,80.673281 -> 16.481642,80.671558 -> 16.483692,80.675972 -> 16.479773,80.673769 -> 16.480489,80.677576",True,call my sister,Relative,Notify selected relative
760,"Market Road, Hyderabad",Hyderabad,17.404171,78.462006,Market Road,6,6,2,1,25,8,None,37.61,Medium,64.66,"17.405813,78.4602 -> 17.404321,78.462315 -> 17.404951,78.464152 -> 17.401014,78.457228 -> 17.402752,78.46651 -> 17.409226,78.466584",False,none,No Alert,No action
761,"College Road, Mumbai",Mumbai,19.069246,72.815326,College Road,5,9,2,1,34,6,Stalking,38.59,Medium,55.39,"19.067711,72.814831 -> 19.072498,72.817496 -> 19.069815,72.813101 -> 19.066844,72.815961 -> 19.070989,72.816306 -> 19.06666,72.816953",True,call my mother,Relative,Notify selected relative
762,"Market Road, Bengaluru",Bengaluru,12.986507,77.557127,Market Road,9,7,3,2,54,7,Abduction,34.05,Medium,72.13,"12.988228,77.556541 -> 12.99048,77.55838 -> 12.98529,77.557101 -> 12.986665,77.555306 -> 12.984226,77.55888 -> 12.98862,77.558636",True,call my sister,Relative,Notify selected relative
763,"Main Road, Pune",Pune,18.573436,73.837738,Main Road,8,3,0,8,8,2,Harassment,37.18,Medium,83.19,"18.571184,73.835206 -> 18.569036,73.836624 -> 18.572177,73.839053 -> 18.574046,73.834756 -> 18.572454,73.836809",True,call my mother,Relative,Notify selected relative
764,"Park Road, Vijayawada",Vijayawada,16.444041,80.613667,Park Road,1,7,0,10,82,3,Abduction,53.5,Medium,50.45,"16.447625,80.614146 -> 16.445696,80.60992 -> 16.447027,80.61692 -> 16.439045,80.611904 -> 16.44528,80.615278 -> 16.442345,80.612903 -> 16.442548,80.613943",False,none,No Alert,No action
765,"Park Road, Chennai",Chennai,13.124601,80.243714,Park Road,7,9,4,5,44,1,Theft,34.73,Medium,81.38,"13.122647,80.241595 -> 13.126647,80.246019 -> 13.12673,80.240425 -> 13.123436,80.245771 -> 13.124705,80.24103",True,mom,Relative,Notify selected relative
766,"Park Road, Vijayawada",Vijayawada,16.522241,80.622982,Park Road,8,4,8,9,100,10,Sexual Harassment,31.36,Medium,94.31,"16.526103,80.624492 -> 16.525644,80.623144 -> 16.524155,80.626676 -> 16.522855,80.622344 -> 16.517979,80.622774 -> 16.5243,80.625346",True,call my mother,Relative,Notify selected relative
767,"Bus Stop Area, Delhi",Delhi,28.631553,77.190055,Bus Stop Area,5,2,0,8,42,7,Abduction,44.86,Medium,54.85,"28.630315,77.189294 -> 28.630771,77.191601 -> 28.636517,77.190364 -> 28.631011,77.189407",True,mom,Relative,Notify selected relative
768,"Bus Stop Area, Chennai",Chennai,13.087053,80.24171,Bus Stop Area,2,9,8,4,66,6,None,38.23,Medium,70.77,"13.08818,80.242234 -> 13.088197,80.242794 -> 13.082623,80.243302 -> 13.085375,80.23897",False,none,No Alert,No action
769,"Bus Stop Area, Chennai",Chennai,13.044044,80.285874,Bus Stop Area,5,7,8,1,93,1,Stalking,47.07,Medium,60.52,"13.039839,80.287069 -> 13.040445,80.286224 -> 13.04464,80.288088 -> 13.048498,80.282462 -> 13.043913,80.285183",True,call police,Emergency,Trigger emergency alert and share location
770,"Residential Street, Pune",Pune,18.535581,73.864248,Residential Street,1,2,7,4,73,1,Abduction,56.61,Medium,48.72,"18.534479,73.861457 -> 18.538051,73.865396 -> 18.537875,73.863472 -> 18.533939,73.861552 -> 18.536478,73.861649 -> 18.540203,73.860979",True,call my mother,Relative,Notify selected relative
771,"College Road, Bengaluru",Bengaluru,12.981178,77.64944,College Road,5,5,10,9,86,3,Assault,36.86,Medium,81.43,"12.981617,77.647019 -> 12.977724,77.651365 -> 12.984943,77.648343 -> 12.97833,77.643295 -> 12.978726,77.649156 -> 12.985176,77.651123",True,mom,Relative,Notify selected relative
772,"College Road, Hyderabad",Hyderabad,17.395678,78.472696,College Road,9,10,3,5,58,2,Robbery,32.41,Medium,76.88,"17.399192,78.473198 -> 17.390421,78.471012 -> 17.393532,78.47133 -> 17.397085,78.472427",True,call my father,Relative,Notify selected relative
773,"Residential Street, Hyderabad",Hyderabad,17.38231,78.532672,Residential Street,1,7,2,7,27,8,Stalking,40.2,Medium,63.01,"17.38697,78.530994 -> 17.382533,78.531969 -> 17.382619,78.533783",True,call my mother,Relative,Notify selected relative
774,"Park Road, Delhi",Delhi,28.629084,77.182641,Park Road,5,10,7,10,54,8,Robbery,23.59,Low,85.29,"28.635342,77.181431 -> 28.630832,77.178622 -> 28.628385,77.182323 -> 28.630266,77.175835 -> 28.629499,77.179767 -> 28.629895,77.18005",True,call my father,Relative,Notify selected relative
775,"Market Road, Vijayawada",Vijayawada,16.476258,80.638423,Market Road,8,8,2,8,67,2,Harassment,37.02,Medium,70.72,"16.475069,80.63544 -> 16.471675,80.640968 -> 16.473018,80.637976 -> 16.47814,80.636886",True,call my sister,Relative,Notify selected relative
776,"College Road, Vijayawada",Vijayawada,16.477319,80.655918,College Road,2,10,6,1,15,6,None,34.2,Medium,76.69,"16.474396,80.655543 -> 16.472988,80.654935 -> 16.477405,80.653781 -> 16.476177,80.652397 -> 16.477512,80.658557 -> 16.474576,80.654361 -> 16.478575,80.658948",True,call police,Emergency,Trigger emergency alert and share location
777,"Residential Street, Vijayawada",Vijayawada,16.453938,80.642093,Residential Street,6,5,5,4,37,8,None,34.07,Medium,77.45,"16.453683,80.635901 -> 16.455191,80.645891 -> 16.45423,80.639515",True,help me,Help,Trigger emergency alert and share location
778,"Main Road, Delhi",Delhi,28.595941,77.270947,Main Road,5,5,3,2,94,8,Theft,49.5,Medium,61.95,"28.597541,77.271838 -> 28.594288,77.270446 -> 28.595746,77.272321",True,help,Help,Trigger emergency alert and share location
779,"Main Road, Hyderabad",Hyderabad,17.437812,78.525842,Main Road,7,8,9,4,72,8,Harassment,28.27,Low,77.53,"17.438372,78.527684 -> 17.439359,78.524269 -> 17.445097,78.522649 -> 17.435104,78.526426 -> 17.443104,78.523752",True,call my father,Relative,Notify selected relative
780,"Market Road, Vijayawada",Vijayawada,16.496896,80.685705,Market Road,9,8,7,10,57,3,Robbery,24.07,Low,93.54,"16.496059,80.687119 -> 16.497577,80.688281 -> 16.500125,80.686473 -> 16.497625,80.68624 -> 16.498119,80.685843",True,help,Help,Trigger emergency alert and share location
781,"Park Road, Delhi",Delhi,28.613879,77.250882,Park Road,4,7,5,8,5,8,Sexual Harassment,26.25,Low,92.63,"28.61011,77.250907 -> 28.612157,77.250105 -> 28.614885,77.252556 -> 28.613599,77.246099 -> 28.611466,77.253123",True,help,Help,Trigger emergency alert and share location
782,"Railway Station Road, Visakhapatnam",Visakhapatnam,17.590885,83.26006,Railway Station Road,9,2,10,8,10,4,Theft,21.59,Low,98.82,"17.594175,83.259564 -> 17.585731,83.261136 -> 17.594072,83.262372 -> 17.589228,83.260277 -> 17.589553,83.258012 -> 17.593273,83.257066 -> 17.58865,83.2573",True,mom,Relative,Notify selected relative
783,"Bus Stop Area, Visakhapatnam",Visakhapatnam,17.634641,83.223625,Bus Stop Area,8,9,0,1,84,9,None,41.09,Medium,71.82,"17.634179,83.219861 -> 17.636741,83.227839 -> 17.633025,83.222429 -> 17.63593,83.22768",False,none,No Alert,No action
784,"Bus Stop Area, Bengaluru",Bengaluru,12.953406,77.547964,Bus Stop Area,10,8,1,8,77,6,None,32.7,Medium,84.55,"12.955404,77.547979 -> 12.952011,77.55045 -> 12.954726,77.546043 -> 12.953529,77.544585 -> 12.955121,77.547308 -> 12.952317,77.547882",True,dad,Relative,Notify selected relative
785,"College Road, Visakhapatnam",Visakhapatnam,17.688211,83.249823,College Road,7,3,6,0,67,6,None,43.84,Medium,67.71,"17.68782,83.251732 -> 17.689213,83.248757 -> 17.687899,83.249452 -> 17.689474,83.248905 -> 17.687235,83.254745 -> 17.69056,83.247921",True,call police,Emergency,Trigger emergency alert and share location
786,"Market Road, Hyderabad",Hyderabad,17.404983,78.490842,Market Road,5,3,2,4,98,2,Abduction,57.86,Medium,51.89,"17.405326,78.493816 -> 17.405847,78.490687 -> 17.407588,78.491425 -> 17.405287,78.491627",True,call police,Emergency,Trigger emergency alert and share location
787,"Main Road, Vijayawada",Vijayawada,16.502924,80.648323,Main Road,10,6,2,0,91,1,None,48.11,Medium,57.95,"16.501046,80.645827 -> 16.499444,80.646124 -> 16.502488,80.648581 -> 16.502246,80.642434 -> 16.50686,80.651039",True,call my father,Relative,Notify selected relative
788,"Park Road, Vijayawada",Vijayawada,16.521802,80.714762,Park Road,6,5,6,1,6,4,Theft,34.14,Medium,69.48,"16.526521,80.712349 -> 16.522399,80.711577 -> 16.521839,80.715727 -> 16.521415,80.716547",True,dad,Relative,Notify selected relative
789,"Park Road, Mumbai",Mumbai,19.079466,72.859415,Park Road,2,5,0,5,59,9,Harassment,49.84,Medium,52.43,"19.081493,72.857781 -> 19.081755,72.862472 -> 19.075294,72.862247 -> 19.084617,72.860045 -> 19.080964,72.862008 -> 19.078777,72.859871",True,help,Help,Trigger emergency alert and share location
790,"Bus Stop Area, Delhi",Delhi,28.567903,77.213852,Bus Stop Area,1,5,8,9,86,2,Stalking,47.77,Medium,65.82,"28.569193,77.216516 -> 28.565966,77.21252 -> 28.572642,77.213476 -> 28.568403,77.213684",True,mom,Relative,Notify selected relative
791,"Railway Station Road, Vijayawada",Vijayawada,16.477441,80.704824,Railway Station Road,10,7,7,1,81,9,Harassment,30.16,Medium,79.4,"16.474623,80.703697 -> 16.472437,80.703196 -> 16.475021,80.706368 -> 16.475757,80.707044",True,help me,Help,Trigger emergency alert and share location
792,"Bus Stop Area, Vijayawada",Vijayawada,16.555147,80.675341,Bus Stop Area,9,7,8,7,5,1,None,20.34,Low,94.68,"16.5555,80.671529 -> 16.554813,80.67319 -> 16.556883,80.681773 -> 16.556397,80.670363 -> 16.554244,80.675647 -> 16.555365,80.673514",True,dad,Relative,Notify selected relative
793,"Main Road, Vijayawada",Vijayawada,16.514785,80.604512,Main Road,1,8,4,9,32,7,Theft,36.0,Medium,68.38,"16.516399,80.601973 -> 16.516131,80.601088 -> 16.519197,80.602576 -> 16.514226,80.605339 -> 16.513372,80.604871",True,save me,Help,Trigger emergency alert and share location
794,"Main Road, Chennai",Chennai,13.102837,80.304321,Main Road,3,9,9,1,38,2,Robbery,36.95,Medium,74.6,"13.102407,80.303954 -> 13.10871,80.306696 -> 13.100532,80.304571 -> 13.101999,80.303983 -> 13.099763,80.303291 -> 13.107366,80.305769",True,help,Help,Trigger emergency alert and share location
795,"Park Road, Chennai",Chennai,12.995509,80.313285,Park Road,4,10,8,5,87,6,None,35.66,Medium,80.49,"12.994611,80.315078 -> 12.993361,80.312109 -> 12.999255,80.312606 -> 12.990835,80.313127 -> 12.995313,80.316281",True,call my sister,Relative,Notify selected relative
796,"College Road, Pune",Pune,18.520902,73.841945,College Road,4,8,9,5,2,3,Harassment,26.23,Low,90.2,"18.521204,73.84007 -> 18.523789,73.842429 -> 18.520909,73.84239",True,dad,Relative,Notify selected relative
797,"Market Road, Visakhapatnam",Visakhapatnam,17.649327,83.200032,Market Road,7,9,7,6,68,2,None,32.64,Medium,80.68,"17.64884,83.203213 -> 17.649871,83.202169 -> 17.64935,83.202673",True,mom,Relative,Notify selected relative
798,"Residential Street, Mumbai",Mumbai,19.089913,72.87817,Residential Street,6,7,9,5,49,3,Harassment,31.43,Medium,81.3,"19.087527,72.879437 -> 19.089812,72.876915 -> 19.092679,72.875044",True,help,Help,Trigger emergency alert and share location
799,"Industrial Road, Bengaluru",Bengaluru,12.956813,77.63057,Industrial Road,1,4,0,4,87,6,Robbery,61.11,High,44.06,"12.956693,77.631198 -> 12.957262,77.626778 -> 12.95594,77.634611 -> 12.955165,77.629774",True,help,Help,Trigger emergency alert and share location
800,"Bus Stop Area, Chennai",Chennai,13.063743,80.267654,Bus Stop Area,4,8,5,0,35,8,None,36.93,Medium,65.85,"13.06496,80.268147 -> 13.065677,80.265027 -> 13.062892,80.26709 -> 13.064882,80.265671 -> 13.066032,80.27062 -> 13.061271,80.266427 -> 13.062413,80.274235",True,save me,Help,Trigger emergency alert and share location
801,"Residential Street, Delhi",Delhi,28.598853,77.267717,Residential Street,5,10,8,7,21,9,Stalking,18.8,Low,87.77,"28.596379,77.266 -> 28.596739,77.267047 -> 28.597081,77.265669 -> 28.601749,77.270776",True,dad,Relative,Notify selected relative
802,"Residential Street, Vijayawada",Vijayawada,16.539425,80.66634,Residential Street,10,3,1,2,33,10,Assault,34.34,Medium,76.02,"16.538182,80.663957 -> 16.540332,80.663406 -> 16.53694,80.669222 -> 16.544177,80.667323",True,mom,Relative,Notify selected relative
803,"Bus Stop Area, Chennai",Chennai,13.121426,80.262095,Bus Stop Area,1,9,9,4,87,9,Sexual Harassment,39.3,Medium,62.12,"13.122956,80.263518 -> 13.121605,80.261489 -> 13.123832,80.259631 -> 13.119492,80.259575 -> 13.121638,80.259375 -> 13.119715,80.260331",False,none,No Alert,No action
804,"College Road, Visakhapatnam",Visakhapatnam,17.677679,83.166442,College Road,7,7,4,1,87,9,Harassment,40.66,Medium,68.08,"17.680797,83.166781 -> 17.681532,83.169777 -> 17.679623,83.166629 -> 17.677735,83.168351 -> 17.6767,83.161736 -> 17.678909,83.163614",True,call my sister,Relative,Notify selected relative
805,"Bus Stop Area, Visakhapatnam",Visakhapatnam,17.653125,83.218508,Bus Stop Area,1,5,6,8,57,6,None,43.16,Medium,65.77,"17.649595,83.218922 -> 17.65554,83.215687 -> 17.656306,83.214608",True,call my father,Relative,Notify selected relative
806,"Main Road, Hyderabad",Hyderabad,17.459106,78.472306,Main Road,4,7,1,3,25,3,None,43.98,Medium,62.55,"17.454376,78.472151 -> 17.459677,78.472091 -> 17.457698,78.46994 -> 17.461932,78.472383 -> 17.462958,78.47099",True,call police,Emergency,Trigger emergency alert and share location
807,"Main Road, Hyderabad",Hyderabad,17.369782,78.515246,Main Road,8,7,0,9,80,6,None,38.64,Medium,65.95,"17.366748,78.51799 -> 17.366852,78.510698 -> 17.374453,78.511761 -> 17.370242,78.515419 -> 17.362755,78.514578",True,save me,Help,Trigger emergency alert and share location
808,"College Road, Bengaluru",Bengaluru,12.987294,77.607001,College Road,1,6,8,3,9,10,Assault,32.34,Medium,79.08,"12.986325,77.608782 -> 12.985571,77.603475 -> 12.98405,77.603346 -> 12.989818,77.603215 -> 12.987979,77.606336 -> 12.987037,77.61041 -> 12.986198,77.60853",True,call my sister,Relative,Notify selected relative
809,"Residential Street, Mumbai",Mumbai,19.077315,72.872379,Residential Street,2,1,0,6,40,2,Sexual Harassment,57.73,Medium,59.57,"19.073712,72.875602 -> 19.078956,72.87118 -> 19.081388,72.867759 -> 19.076011,72.869358",False,none,No Alert,No action
810,"Main Road, Mumbai",Mumbai,19.090423,72.838743,Main Road,5,10,10,6,8,2,None,21.27,Low,94.09,"19.089957,72.837545 -> 19.091395,72.838071 -> 19.087701,72.845746",True,mom,Relative,Notify selected relative
811,"Park Road, Delhi",Delhi,28.596849,77.131384,Park Road,2,10,6,3,76,10,Harassment,38.45,Medium,64.03,"28.593681,77.133449 -> 28.597653,77.132381 -> 28.595924,77.130686",True,call my sister,Relative,Notify selected relative
812,"Residential Street, Delhi",Delhi,28.600917,77.206158,Residential Street,6,1,7,8,42,10,None,32.14,Medium,85.94,"28.601757,77.207408 -> 28.602166,77.208369 -> 28.601637,77.207055 -> 28.603889,77.204495",True,help,Help,Trigger emergency alert and share location
813,"Bus Stop Area, Hyderabad",Hyderabad,17.355049,78.445193,Bus Stop Area,10,3,10,8,32,6,Assault,20.09,Low,99.42,"17.350415,78.446348 -> 17.354776,78.44803 -> 17.353369,78.444685 -> 17.357855,78.448651 -> 17.353349,78.445647 -> 17.355785,78.446127",True,call my sister,Relative,Notify selected relative
814,"Market Road, Mumbai",Mumbai,19.06681,72.922548,Market Road,4,3,0,0,16,5,Theft,50.27,Medium,43.48,"19.065757,72.923668 -> 19.067953,72.92593 -> 19.069806,72.921834 -> 19.07006,72.920763 -> 19.069137,72.927074 -> 19.069847,72.922812 -> 19.065981,72.918727",True,call my father,Relative,Notify selected relative
815,"Railway Station Road, Pune",Pune,18.531269,73.817667,Railway Station Road,10,9,2,2,60,5,None,33.64,Medium,72.8,"18.528292,73.816516 -> 18.531199,73.818351 -> 18.529768,73.82034 -> 18.530748,73.815698 -> 18.531835,73.822576 -> 18.532107,73.81676 -> 18.52745,73.817118",True,call my mother,Relative,Notify selected relative
816,"Market Road, Visakhapatnam",Visakhapatnam,17.695022,83.204935,Market Road,1,4,8,8,6,7,Abduction,32.77,Medium,69.3,"17.692896,83.208571 -> 17.698607,83.202718 -> 17.696704,83.201989 -> 17.698533,83.205548 -> 17.697396,83.200647",True,save me,Help,Trigger emergency alert and share location
817,"Residential Street, Bengaluru",Bengaluru,12.995317,77.594331,Residential Street,6,4,10,7,88,8,Sexual Harassment,34.0,Medium,84.96,"12.997604,77.594495 -> 12.993815,77.59628 -> 12.995167,77.592149 -> 12.993017,77.590638 -> 12.994041,77.597088 -> 12.995762,77.593007 -> 12.997329,77.59225",True,call my mother,Relative,Notify selected relative
818,"Railway Station Road, Pune",Pune,18.523737,73.850413,Railway Station Road,7,6,2,1,58,1,Sexual Harassment,47.41,Medium,63.79,"18.519794,73.848288 -> 18.519641,73.849764 -> 18.526766,73.849149 -> 18.52246,73.852592 -> 18.526408,73.850192 -> 18.525449,73.847721",True,save me,Help,Trigger emergency alert and share location
819,"Bus Stop Area, Bengaluru",Bengaluru,13.019829,77.669805,Bus Stop Area,8,10,3,3,61,6,Harassment,32.89,Medium,79.72,"13.014618,77.668409 -> 13.021361,77.668751 -> 13.023009,77.671275 -> 13.018063,77.669886 -> 13.017594,77.669349 -> 13.018443,77.672742",True,save me,Help,Trigger emergency alert and share location
820,"College Road, Visakhapatnam",Visakhapatnam,17.76086,83.168408,College Road,1,2,5,0,71,2,Harassment,61.75,High,31.93,"17.760247,83.164612 -> 17.760976,83.17028 -> 17.764595,83.168911 -> 17.760377,83.163462",True,call police,Emergency,Trigger emergency alert and share location
821,"Main Road, Pune",Pune,18.521316,73.859195,Main Road,1,4,3,4,22,4,None,48.5,Medium,59.79,"18.519545,73.858107 -> 18.517621,73.853467 -> 18.518545,73.855269 -> 18.522158,73.8579 -> 18.51997,73.856734",True,help me,Help,Trigger emergency alert and share location
822,"Market Road, Bengaluru",Bengaluru,12.85846,77.647391,Market Road,4,1,2,4,12,1,Stalking,49.64,Medium,52.36,"12.857429,77.643754 -> 12.86089,77.64775 -> 12.856394,77.64641 -> 12.862655,77.647209",True,call my father,Relative,Notify selected relative
823,"College Road, Hyderabad",Hyderabad,17.378639,78.453752,College Road,4,5,7,3,47,6,Abduction,39.3,Medium,60.03,"17.378239,78.454566 -> 17.381388,78.448131 -> 17.375826,78.4523 -> 17.37863,78.453389",True,mom,Relative,Notify selected relative
824,"Residential Street, Delhi",Delhi,28.609641,77.223283,Residential Street,2,3,2,3,24,9,None,46.09,Medium,54.09,"28.611976,77.224367 -> 28.608841,77.227285 -> 28.613532,77.225615 -> 28.602095,77.22723 -> 28.611628,77.228299 -> 28.612735,77.227229",True,call my mother,Relative,Notify selected relative
825,"Bus Stop Area, Delhi",Delhi,28.644653,77.256204,Bus Stop Area,1,10,9,3,68,5,None,39.45,Medium,77.92,"28.645194,77.252273 -> 28.643884,77.257179 -> 28.64484,77.253088 -> 28.640575,77.254351",True,call my mother,Relative,Notify selected relative
826,"Market Road, Chennai",Chennai,13.110971,80.326012,Market Road,9,10,7,3,93,2,None,34.34,Medium,83.04,"13.113615,80.32581 -> 13.106616,80.324874 -> 13.110324,80.324769 -> 13.111108,80.327116 -> 13.113104,80.325317 -> 13.106212,80.324805",True,dad,Relative,Notify selected relative
827,"College Road, Delhi",Delhi,28.61543,77.251798,College Road,8,9,7,2,41,6,Stalking,26.52,Low,81.94,"28.616711,77.252523 -> 28.61554,77.254124 -> 28.613778,77.25036 -> 28.6154,77.250198 -> 28.6167,77.250015 -> 28.615996,77.251548 -> 28.615967,77.250649",True,call my sister,Relative,Notify selected relative
828,"Industrial Road, Mumbai",Mumbai,19.064132,72.88106,Industrial Road,5,10,6,10,74,1,Sexual Harassment,34.5,Medium,80.51,"19.064121,72.885323 -> 19.061655,72.880899 -> 19.060198,72.88199 -> 19.061344,72.880364",True,save me,Help,Trigger emergency alert and share location
829,"Bus Stop Area, Mumbai",Mumbai,19.062978,72.887531,Bus Stop Area,7,4,4,6,48,10,None,33.09,Medium,75.95,"19.06149,72.891121 -> 19.063689,72.886128 -> 19.062351,72.891644 -> 19.06239,72.885808",True,call my mother,Relative,Notify selected relative
830,"Market Road, Hyderabad",Hyderabad,17.361025,78.467481,Market Road,2,5,7,8,45,4,Harassment,39.89,Medium,67.84,"17.357826,78.46467 -> 17.358952,78.46896 -> 17.360072,78.466963 -> 17.3642,78.470719 -> 17.36032,78.465904 -> 17.358864,78.469213 -> 17.360513,78.466515",False,none,No Alert,No action
831,"Park Road, Pune",Pune,18.491922,73.829762,Park Road,8,8,6,6,47,8,Harassment,24.75,Low,90.45,"18.488633,73.832249 -> 18.490587,73.829388 -> 18.48858,73.829731 -> 18.491101,73.829637 -> 18.495601,73.830206",True,call police,Emergency,Trigger emergency alert and share location
832,"Industrial Road, Vijayawada",Vijayawada,16.478387,80.623104,Industrial Road,4,5,10,1,45,2,Theft,40.34,Medium,71.53,"16.481634,80.623809 -> 16.480109,80.624628 -> 16.481935,80.61823 -> 16.480055,80.625563 -> 16.47504,80.62089",True,mom,Relative,Notify selected relative
833,"Railway Station Road, Hyderabad",Hyderabad,17.355223,78.461192,Railway Station Road,4,2,1,1,46,1,None,57.77,Medium,44.22,"17.35583,78.463356 -> 17.357926,78.459097 -> 17.353111,78.464482 -> 17.35684,78.461399 -> 17.356406,78.461117 -> 17.356534,78.460352 -> 17.355895,78.457416",True,save me,Help,Trigger emergency alert and share location
834,"Railway Station Road, Pune",Pune,18.496328,73.833005,Railway Station Road,5,5,3,9,17,9,Assault,29.98,Low,79.95,"18.494012,73.831671 -> 18.492542,73.834377 -> 18.496122,73.828742 -> 18.494241,73.833847 -> 18.49497,73.831263",False,none,No Alert,No action
835,"College Road, Chennai",Chennai,13.080089,80.282726,College Road,7,7,9,10,1,8,Sexual Harassment,12.89,Low,97.03,"13.081464,80.280725 -> 13.080044,80.282637 -> 13.078771,80.280167 -> 13.079375,80.286789 -> 13.076685,80.286957 -> 13.07944,80.282814 -> 13.077372,80.280798",True,help me,Help,Trigger emergency alert and share location
836,"Bus Stop Area, Bengaluru",Bengaluru,12.953998,77.558001,Bus Stop Area,4,8,3,8,75,9,None,37.84,Medium,71.41,"12.95298,77.562628 -> 12.951083,77.558258 -> 12.954618,77.555325 -> 12.955715,77.557005 -> 12.947767,77.559651 -> 12.951206,77.555382",True,call my sister,Relative,Notify selected relative
